Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Aceratherium paulhiacensis,,,,,,,Can't find specimen,,,Asia
Acritoparamys naomugengensis,3.7,3.625,2,2,,"Qian Li & Fang-Yuan Mao & Yuan-Qing Wang 2018 First record of Eocene fossil rodent assemblages from the lower part of the Erden Obo Section, Erlian Basin (Nei Mongol, China) and its biochronological implications",,,,Asia
Acritoparamys wutui,2.58,2.24,1,1,,"Qian Li & Fang-Yuan Mao & Yuan-Qing Wang 2018 First record of Eocene fossil rodent assemblages from the lower part of the Erden Obo Section, Erlian Basin (Nei Mongol, China) and its biochronological implications",,,,Asia
Acrotitan ulanshirehensis,,,,,,"J. Ye. 1983. Mammalian Fauna from the Late Eocene of Ulan Shireh Area, Inner Mongolia. Vertebrata PalAsiatica 21(2):109-118",Can't find paper,,,Asia
Adapidium huanghoense,,,,,,"New Hypsodont Tillodont (Mammalia, Tillodontia) from the Early Eocene of India Authors: Rose, Kenneth D., Kumar, Kishor, Rana, Rajendra S., Sahni, Ashok, and Smith, Thierry",no lower teeth,,,Asia
Adapoides troglodytes,,,,,,Beard et al. 1994. A diverse new primate fauna from middle Eocene fissure-fillings in southeastern China,no m1,,,Asia
Adolomys ameristus,,,,,,,Can't find specimen,,,Asia
Advenimus burkei,2.2,1.8,2,2,,"Li, Qian, and Meng, Jin 2015 New Ctenodactyloid Rodents from the Erlian Basin, Nei Mongol, China, and the Phylogenetic Relationships of Eocene Asian Ctenodactyloids",,,,Asia
Advenimus hubeiensis,,,,,,,probably a change from a p to a b at some point,,,Asia
Advenimus hupeiensis,2.275,1.9,2,2,,"Li, Qian, and Meng, Jin 2015 New Ctenodactyloid Rodents from the Erlian Basin, Nei Mongol, China, and the Phylogenetic Relationships of Eocene Asian Ctenodactyloids",,,,Asia
Advenimus ulungurensis,2.41,1.9925,4,4,,"Li, Qian, and Meng, Jin 2015 New Ctenodactyloid Rodents from the Erlian Basin, Nei Mongol, China, and the Phylogenetic Relationships of Eocene Asian Ctenodactyloids",,,,Asia
Ageitonomys neimongolensis,,,,,,"AGEITONOMYS NEIMONGOLENSIS GEN. ET SP. NOV. (CTENODACTYLOIDEA, RODENTIA, MAMMALIA) FROM EARLY OLIGOCENE OF NEIMONGOL, CHINA
WANG Ban-Yue",no m1,,,Asia
Alagomys inopinatus,0.81,0.84,1,1,,"Qian Li & Fang-Yuan Mao & Yuan-Qing Wang 2018 First record of Eocene fossil rodent assemblages from the lower part of the Erden Obo Section, Erlian Basin (Nei Mongol, China) and its biochronological implications",,,,Asia
Alagomys oriensis,0.71,0.81,1,1,,"Qian Li & Fang-Yuan Mao & Yuan-Qing Wang 2018 First record of Eocene fossil rodent assemblages from the lower part of the Erden Obo Section, Erlian Basin (Nei Mongol, China) and its biochronological implications",,,,Asia
Alagtsavbaatar indigenus,8.4,4.4,1,1,,"DEMBERELYIN DASHZEVEG 1996 Some Carnivorous Mammals from the Paleogene of the Eastern Gobi Desert, Mongolia, and the Application of Oligocene Carnivores to Stratigraphic Correlation",Paper has Stenoplesictis indigenus,,,Asia
Alashania tengkoliensis,,,,,,,Can't find specimen,,,Asia
Allacerops minor,31,23,1,1,,"New eggysodontid (Mammalia, Perissodactyla) material from the Paleogene of the Guangnan Basin, Yunnan Province, China WANG Hai-Bing 1,2 BAI Bin 1 GAO Feng 3 HUANG Wang-Chong 4 WANG Yuan-Qing 2013",,,,Asia
Allacerops turgaica,28.13333333,24.46666667,3,3,,"New eggysodontid (Mammalia, Perissodactyla) material from the Paleogene of the Guangnan Basin, Yunnan Province, China WANG Hai-Bing 1,2 BAI Bin 1 GAO Feng 3 HUANG Wang-Chong 4 WANG Yuan-Qing 2013",,,,Asia
Allosminthus diconjugatus,1.2,0.925,1,2,,"ADDITIONAL RODENT MATERIAL FROM HOULDJIN FORMATION OF ERENHOT, NEI MONGOL, CHINA WANG Ban-Yue 2008",,,,Asia
Allosminthus gobiensis,1.162857143,0.922857143,7,7,,"Additional cricetid and dipodid rodent material from the Erden Obo section, Erlian Basin (Nei Mongol, China) and its biochronological implications Qian Li 2018",,,,Asia
Allosminthus ernos,1.052,0.7475,15,16,,"Qian Li, Yan-Xin Gong & Yuan-Qing Wang (2017) New dipodid rodents from the Late Eocene of Erden Obo (Nei Mongol, China)",,,,Asia
Allosminthus khandae,1,0.75,8,8,,"Dipodidae (Rodentia, Mammalia) from the Oligocene and Early Miocene of Mongolia By Gudrun Daxner-Höck1* , Demchig BaDamgarav2 & Olivier mariDet 2014",,,,Asia
Allosminthus majusculus,1.5,1.1,2,2,,"Additional cricetid and dipodid rodent material from the Erden Obo section, Erlian Basin (Nei Mongol, China) and its biochronological implications Qian Li 2018",,,,Asia
Allosminthus uniconjugatus,1.085,0.855,2,2,,"Y. Tong. 1997. Middle Eocene Small Mammals from Liguanqiao Basin of Henan Province and Yuanqu Basin of Shanxi Province, Central China. Palaeontologica Sinica, New Series C 26:1-256",Alternative combination: Banyuesminthus uniconjugatus,,,Asia
Altanius orlovi,1.116666667,1.04,3,3,,"Gingerich et al. 1991. Dentition and systematic relationships of Altanius orlovi (Mammalia, Primates) from the early Eocene of Mongolia",,,,Asia
