Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Brachyzostrodon coupatezi,,,,,,"D. Sigogneau-Russell. 1983. Nouveaux taxons de mammifères rhétiens [New taxa of Rhaetian mammals]. Second Symposium on Mesozoic Terrestrial Ecosystems, Jadwisin 1981. Acta Palaeontologica Polonica 28(1-2):233-249","SNP 100, a tooth (lower tight (?) molar).",,,
Brachyzostrodon maior,,,,,,"G. Hahn, D. Signogneau-Russell, and P. Godefroit. 1991. New data on Brachyzostrodon (Mammalia; Upper Triassic). Geologica et Palaeontologica 25:237-249","RAS 1020W, a tooth (right lower molar)",,,
Eozostrodon parvus,,,,,,"MOLAR OCCLUSION IN LATE TRIASSIC MAMMALS
BY A. W. CROMPTON. 1968",perhaps upper teeth,,,
Fluctuodon necmergor,,,,,,unknown lower teeth,,,,
Gondwanadon tapani,,,,,,,broken isolated tooth,,,
Hallautherium schalchi,,,,,,W. A. Clemens. 1980. Rhaeto-Liassic mammals from Switzerland and West Germany. Zitteliana 5:51-92,unknown molars,,,
Haramiyavia clemmenseni,2.515,1.45,,,,"Jenkins, F. A., Gatesy, S. M., Shubin, N. H., & Amaral, W. W. (1997). Haramiyids and Triassic mammalian evolution. Nature, 385(6618), 715–718. doi:10.1038/385715a0 ",Taken directly from graph. Paper also suggests uncertainty of width,Y,,
Helvetiodon schutzi,,,,,,,upper molar,,,
Kuehneotherium praecursoris,,,,,,"Doris M. Kermack; K. A. Kermack; Frances Mussett (1968). The Welsh pantothere <em>Kuehneotherium praecursoris</em>. , 47(312), 407–423. doi:10.1111/j.1096-3642.1968.tb00519.x ","Type specimen M. 19163. A left upper molariform tooth. s. Specimen C. 867. A left upper molariform tooth. Specimen M. 19166. A lower left molariform tooth. Specimen C. 855. A left lower molariform tooth. Specimen C. 858. A lower left molariform tooth. Specimen C853. A premolariform tooth resembling
Eozontrodon paraa. Spcci~nens C. 859, 860, 861 and 86%. Premolariform teeth. Specimen C. 863. A fragment of the anterior part of
a dentary, showing a canine alveolus, four succeeding alveoli for premolariform teeth, with
undivided or incompletely divided roots and the succeeding paired alveoli for teeth with
fully divided roots. Sperinien C. 864. A fragment, of a dentary, showing
t,he trough for t,he accessory jaw hones lying vent>ral to t,he proniinent ridge from which was
suspended the surangular. The facet for the coronoicl bone should be noted. A photograpli of
this specimen is in IZerinack (1965, p. 5). Specimen C. 865. The posterior portion of a
dentary showing the low coronoid process and the abraded and broken condyle. ",,,
Kuehneotherium stanislavi,1.06,0.42,,,,"The Kuehneotheriidae (Mammaliaformes)
from Saint-Nicolas-de-Port (Upper Triassic, France):
a Systematic Review 2016. Maxime Debuysschere",m1?,Y,,
Microlestes rhaeticus,,,,,,W. B. Dawkins. 1864. On the Rhaetic beds and White Lias of western and central Somerset; and on the discovery of a new fossil mammal in the grey marlstones below the bone-bed. Quarterly Journal of the Geological Society 20:396-412,"lost, a tooth.",,,
Thomasia antiqua,,,,,,W. H. Plieninger. 1847. Zahne aus der oberen Grenzbreccie des Keupers bei Degerloch und Steinenbronn. Jahreshefte des Vereins für Vaterländische Naturkunde in Württemberg 3:164-167,molars,,,
Thomasia hahni,,,,,,"P. M. Butler and G. T. Macintyre. 1994. Review of the British Haramiyidae (? Mammalia, Allotheria), their molar occlusion and relationships. Philosophical Transactions: Biological Sciences 345(1314):433-458",lower molar,,,
Thomasia moorei,,,,,,R. Owen. 1871. Monograph of the fossil Mammalia of the Mesozoic formations. 24(110):vi-115,no m1,,,
Thomasia woutersi,,,,,,"Review of the British Haramiyidae (? Mammalia, Allotheria), their molar occlusion and relationships. PM Butler. 1994.",no m1,,,
Tikitherium copei,,,,,,,one left upper molar,,,
Tricuspes sigogneauae,,,,,,,upper teeth?,,,
Tricuspes tapeinodon,,,,,,,unknown molars,,,
Tricuspes tuebingensis,,,,,,,cant find paper,,,
Woutersia butleri,,,,,,,unknown teeth,,,
Woutersia mirabilis,,,,,,,unknown teeth,,,
Agilodocodon scansorius,1.873,0.884,,,,,,,,
Amblotherium gracilis,,,,,,,,,,
Ambondro mahabo,1.948453608,0.958762887,1,,Y IMAGE,"Wyss, André R.; Flynn, John J.; Parrish, J. Michael; Rakotosamimanana, Berthe; Simpson, William F. (1999). . Nature, 401(6748), 57–60. doi:10.1038/43420 ",,,,
Ameghinichnus acutus,,,,,,,ichnofossil,,,
Ameghinichnus fortis,,,,,,,ichnofossil,,,
Ameghinichnus mirabilis,,,,,,,ichnofossil,,,
Ameghinichnus patagonicus,,,,,,,ichnofossil,,,
Amphibetulimus krasnolutskii,,,,,,"The Earliest Asiatic Pretribosphenic Mammal (Cladotheria, Amphitheriidae) from the Middle Jurassic of Siberia A. V. Lopatin and A. O. Averianov","fragment with m3 PIN, no. 5087/3",,,
Amphidon superstes,,,,,,"G. G. Simpson. 1925. Mesozoic Mammalia. II: Tinodon and its allies. American Journal of Science, series 5 10(59):451-470","YPM 13638, a mandible (partial right mandible with P4 and M1-4)",,,
Amphilestes broderipii,,,,,,,a mandible (left mandible).,,,
Amphitherium prevostii,,,,,,,"OUMNH specimen, a mandible (partial left mandible)",,,
Amphitherium rixoni,,,,,,,"m1 present, but only tooth not measured",,,
Anthracolestes sergeii,,,,,,"A. O. Averianov, T. Martin, and A. Lopatin. 2014. The oldest dryolestid mammal from the Middle Jurassic of Siberia. Journal of Vertebrate Paleontology 34(4):924-931","PIN 5087/22, a tooth (left lower molar)- PIN 5087/27, left dentary fragment with alveoli for i1–4, double-rooted c, and p1–3. unknown molars",,,
Aploconodon comoensis,,,,,,"G. G. Simpson. 1925. Mesozoic Mammalia 1. American triconodonts: part 2. American Journal of Science, series 5 10:334-358","USNM 2791, a mandible (right mandible).",,,
Araeodon intermissus,1.05,0.66,,,,"A.O. Averianov and T. Martin. 2015. ONTOGENY AND TAXONOMY OF PAURODON VALENS (MAMMALIA, CLADOTHERIA) FROM THE UPPER JURASSIC MORRISON FORMATION OF USA",measured from the cast by the authors,,,
Arboroharamiya allinhopsoni,,,,,,,"m1 present, but due to position on slab probably not measurable. No measurements reported",,,
Arboroharamiya jenkinsi,4.139,2.521,,,,,,,,
Archaeotrigon brevimaxillus,1.2,0.82,,,,"A.O. Averianov and T. Martin. 2015. ONTOGENY AND TAXONOMY OF PAURODON VALENS (MAMMALIA, CLADOTHERIA) FROM THE UPPER JURASSIC MORRISON FORMATION OF USA",,,,
Argentoconodon fariasorum,3.26,2.25,,,,"Leandro C. Gaetano & Guillermo W. Rougier (2011) New materials of
Argentoconodonfariasorum (Mammaliaformes, Triconodontidae) from the Jurassic of Argentina
and its bearing on triconodont phylogeny, Journal of Vertebrate Paleontology, 31:4, 829-843, DOI:
10.1080/02724634.2011.589877",,,,
Asfaltomylos patagonicus,0.85,0.39,,,,"Thomas Martin & Oliver W. M. Rauhut. 2010. Mandible and dentition of Asfaltomylos patagonicus
(Australosphenida, Mammalia) and the evolution
of tribosphenic teeth",Approx.,,,
Bathmochoffatia hapax,,,,,,"Occlusal Pattern in Paulchoffatiid Multituberculates
and the Evolution of Cusp Morphology in Mammaliamorphs
with Rodent-like Dentitions
Vincent Lazzari & Julia A. Schultz & Paul Tafforeau &
Thomas Martin","IPFUB ha (m1)-1, a tooth (left m1) right M1 of Bathmochoffatia
hapax (MG 6809, reversed).",,,
Bernardodon atlanticus,,,,,,G. Hahn and R. Hahn. 1999. Pinheirodontidae n. fam. (Multituberculata) (Mammalia) aus der tiefen Unter-Kreide Portugals. Palaeontographica Abteilung A 253(4-6):77-222,"PP MULT 120 (holotype) and paratypes, a tooth (right m2)",,,
Borealestes mussetti,1.57,0.67,,,,"Panciroli et al, 2019. The mandible and dentition of Borealestes serendipitus (Docodonta) from the Middle Jurassic of Skye, Scotland",Took longest measurements reported for tooth,,,
Borealestes serendipitus,0.79,1.585,,,,"Panciroli et al, 2019. The mandible and dentition of Borealestes serendipitus (Docodonta) from the Middle Jurassic of Skye, Scotland",Average across left and right dentary,,,
Brancatherulum tendagurense,,,,,,"W. O. Dietrich. 1927. Brancatherulum n. g., ein Proplacentalier aus dem obersten Jura des Tendaguru in Deutsch-Ostafrika. Centralblatt fur Mineralogie, Geologie, Palaeontologie Abteilung B 10:423-426",cant find specimen,,,
Bridetherium dorisae,,,,,,,unknown molariformes,,,
Cherwellia leei,,,,,,,right lower molar,,,
Comodon gidleyi,,,,,,"G. G. Simpson. 1925. Mesozoic Mammalia 1. American triconodonts: part 2. American Journal of Science, series 5 10:334-358",cant find specimen,,,
Comotherium richi,,,,,,,upper teeth,,,
Ctenacodon laticeps,,,,,,"O. C. Marsh. 1881. Notice of new Jurassic mammals. The American Journal of Science and Arts, series 3 21(121-126):511-513","YPM 11761, a maxilla (left upper jaw with molar and premolar teeth)",,,
Ctenacodon scindens,,,,,,G. G. Simpson. 1928. A Catalogue of the Mesozoic Mammalia in the Geological Department of the British Museum 1-215,"YPM 10366, a mandible (partial left mandible)",,,
Ctenacodon serratus,,,,,,,"YPM 11833, a mandible (right mandible, lacking M2 and extreme anterior and posterior parts of ramus. YPM 11832, a mandible (left mandible complete save for tip of coronoid, incisor, and molars)",,,
Cyrtlatherium canei,,,,,,E. F. Freeman. 1979. A Middle Jurassic mammal bed from Oxfordshire. Palaeontology 22(1):135-166,"BMNH M.3651 1, a tooth (right lower cheek tooth)",,,
