Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Aaptoryctes ivyi,2.7,2.5,1,1,,Gingerich 1982,Gingerich 1982d (type: FG-47),,,US
Abelmoschomys simpsoni,1.48,0.95,8,8,,Baskin 1986,Baskin 1986,,,
Absarokius abbotti,2.39,2.16,132,132,,Bown and Rose 1987,Bown and Rose 1987,,,
Absarokius gazini,2.3,1.85,3,3,,Bown and Rose 1987,Bown and Rose 1987 (type),,,
Absarokius metoecus,2.33,2.12,49,49,,Bown and Rose 1987,Bown and Rose 1987,,,
Acarechimys minutissimus,1.56,1.47,1,1,,Walton 1990,,,,
Acaremys murinus,1.94,1.84,1,1,,Vucetich and Kramarz 2003,width = posterior,,,AR
Acarictis ryani,3.95,2.1,2,2,,Gingerich and Deutsch 1989,Gingerich and Deutsch 1989 (type: Clarks Fork Basin),,,
Achaenodon robustus,25.2,19.45,2,2,,Gazin 1955,Gazin 1955,,,
Achlyoscapter longirostris,1.595,1.005,2,2,,Hutchison 1968,Hutchison 1968 (type: UO 2465),,,US
Acidomomys hebeticus,2.275,2.035,2,2,,Bloch et al. 2002,Bloch et al. 2002 (includes type: SC-62),,,US
Acmeodon secans,3.638333333,2.391666667,11,11,,Wilson 1985,Wilson 1985 (Rigby 1980),,,
Acritohippus isonesus,18.5,10.46666667,12,12,,Gazin 1932,Gazin 1932 (Skull Spring),,,US
Acritohippus quinni,20.8,11.7,10,10,,Kelly 1995,Kelly 1995c (Caliente Fm.),,,
Acritoparamys atavus,1.58,1.525,10,10,,Ivy 1990,Ivy 1990 (Clark's Fork Basin),,,
Acritoparamys atwateri,2.295334,2.173334,26,26,,Korth 1984,Korth 1984 (excluding UMMP specimen; type is not measurable contra Wood 1962),,,
Acritoparamys francesi,2.353333333,2.136666667,38,38,,Korth 1984,Korth 1984 (Lost Cabin; Knight Member; apparently new CM and CU material),,,
Acritoparamys pattersoni,3.145,2.89,2,2,,Wood 1962,Wood 1962 (type: Rifle),,,
Adeloblarina berklandi,1.65,1,2,2,,Green 1985,Green 1985,,,
Adelphailurus kansensis,16,7,1,1,,Bennett 1979,Bennett 1979,,,
Adilophontes brachykolos,29.13333333,13.86666667,3,3,,Hunt 2002,Hunt 2002b (type: 18 Mile District),,,
Adjidaumo burkei,0.8,0.9,1,1,,Russell 1954,Russell 1954 (type: Kishenehn),,,
Adjidaumo craigi,0.99,0.97,49,49,,Storer 1987,Storer 1987 (Lac Pelletier: includes type; m12),,,CA
Adjidaumo intermedius,1.06,1.025,4,4,,Korth 1989,Korth 1989a (type: UNSM Sx-24),,,US
Adjidaumo maximus,1.28,1.22,1,1,,Korth 1989,Korth 1989a (type: UNSM Sx-21),,,US
Adjidaumo minimus,0.95,0.9,4,4,,Black 1965,Black 1965,,,
Adjidaumo minutus,1.2,1.15,27,27,,Wood 1974,Wood 1974 (Porvenir),,,
Adunator ladae,1.636666667,1.223333333,13,13,,Simpson 1937,Simpson 1937a (Gidley Quarry: includes type),,,
Adunator meizon,1.73,1.23,3,3,,Gingerich 1983,Gingerich 1983c (Cedar Point Quarry: includes type),,,US
Adunator minutus,1.8365,1.2585,4,4,,Winterfeld 1982,Winterfeld 1982 (referred: Rock Springs Uplift),,,
Aelurodon asthenostylus,25.58,9.81,36,36,,Wang et al. 1999,Wang et al. 1999 (includes type of Henshaw 1942),,,
Aelurodon ferox,28.24,10.96,70,70,,Wang et al. 1999,Wang et al. 1999,,,
Aelurodon mcgrewi,25.67,10.07,7,7,,Wang et al. 1999,Wang et al. 1999 (includes type),,,
Aelurodon montanensis,29,12.6,1,1,,Wang et al. 2004,width is trigonid; talonid width 10.3,,,US
Aelurodon stirtoni,24.69,10.13,11,11,,Wang et al. 1999,Wang et al. 1999,,,
