Accepted.Name;mean.m1.length;mean.m1.width;overall.n.sampled.m1.length;overall.n.sampled.m1.width;measured.m1;ref;notes;Uncertain;alt.body.mass;continent
Abrosomys agasma;;;;;;;paper not found;;;
Acristatherium yanensis;1.3;NA;;;;"Hu, Yaoming, et al. ""New basal eutherian mammal from the Early Cretaceous Jehol biota, Liaoning, China."" Proceedings of the Royal Society B: Biological Sciences 277.1679 (2010): 229-236.";doesn’t have m1 width;;;
Aetiocetus polydentatus;;;;;;"L. G. Barnes, M. Kimura, H. Furusawa and H. Sawamura. 1995. Classification and distribution of Oligocene Aetiocetidae (Mammalia; Cetacea; Mysticeti) from western North America and Japan. The Island Arc 3(4):392-431";m1 not found;;;
Afrasia djijidae;;;;;;"Chaimanee, Yaowalak, et al. ""Late Middle Eocene primate from Myanmar and the initial anthropoid colonization of Africa."" Proceedings of the National Academy of Sciences 109.26 (2012): 10293-10297.";m1 not found;;;
Akidolestes cifelli;;;;;to measure;"Li, Gang, and Zhe-Xi Luo. ""A Cretaceous symmetrodont therian with some monotreme-like postcranial features."" Nature 439.7073 (2006): 195-200.";measure from picture;;;
Aksyiromys dalos;1.8;0.82;8;8;;"Emry, Robert J., et al. ""Rodents of the middle Eocene Shinzhaly fauna of Eastern Kazakstan."" Journal of Vertebrate Paleontology 18.1 (1998): 218-227.";;;;
Aktashmys montealbus;1.67;1.58;14;13;;"Averianov, A. O., and A. V. Lopatin. ""Eocene lagomorphs (Mammalia) of Asia: 1. Aktashmys (Strenulagidae fam. nov.)."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 39.3 (2005): 308.";;;;
Alaymys ctenodactylus;1.3;1.2;;;;"Averianov, Alexander. ""early eocene Rodentia of Kyrgyzstan."" Bulletin du Muséum national d’Histoire naturelle 18 (1996): 629-662.";;;;
Allostylops periconotus;;;;;;;paper not found;;;
Altilambda minor;;;;;;;paper not found;;;
Ambulocetus natans;;;;;;"Thewissen, Johannes GM, S. Taseer Hussain, and Muhammad Arif. ""Fossil evidence for the origin of aquatic locomotion in archaeocete whales."" Science 263.5144 (1994): 210-212.";doesn’t have m1;;;
Amphechinus akespensis;4.8;2.3;1;1;;"Lopatin, A. V. ""Oligocene and early miocene insectivores (Mammalia) from Western Kazakhstan."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 33 (1999): 182-191.";;;;
Amphechinus kansuensis;;;;;;;cant find specimen;;;
Amynodon altidens;;;;;;;paper not found;;;
Amynodon lunanensis;;;;;;;paper not found;;;
Amynodon watanabei;;;;;;;paper not found;;;
Anatoliadelphys maasae;5.2;NA;1;_;;;doesn’t have m1 width;;;
Anatolianycteris insularis;1.57;0.90;1;1;;"Jones, Matthew F., et al. ""A stem bat (Chiroptera: Palaeochiropterygidae) from the late middle Eocene of northern Anatolia: implications for the dispersal and palaeobiology of early bats."" Palaeobiodiversity and Palaeoenvironments 99 (2019): 261-269.";;;;
Anatolimys rozhdestvenskii;3.6;3.7;1;1;;"Kraatz, Brian P., Demchig Badamgarav, and Faysal Bibi. ""Gomphos ellae, a new mimotonid from the middle Eocene of Mongolia and its implications for the origin of Lagomorpha."" Journal of Vertebrate Paleontology 29.2 (2009): 576-583.";;;;
Andrewsarchus crassum;;;;;;;paper not found;;;
Andrewsiphius sloani;2.5;NA;;;;"Sahni, A., and V. P. Mishra. ""A new species of Protocetus (Cetacea) from the middle Eocene of Kutch, western India."" Palaeontology 15.3 (1972): 490-495.";doesn’t have m1 width;;;
Ansomys crucifer;;;;;;"Lopatin, A. V. ""The first finding of Ansomys (Aplodontidae, Rodentia, Mammalia) in the Miocene of Kazakhstan."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 31 (1997): 667-670.";m1 not found;;;
Anthracobune aijiensis;17.4;11.65;2;2;;"Kumar, Kishor. ""Anthracobune aijiensis nov. sp.(Mammalia: Proboscidea) from the Subathu Formation, Eocene from NW Himalaya, India."" Geobios 24.2 (1991): 221-239.";;;;
Anthracobune daviesi;;;;;;"Pilgrim, Guy E. ""Middle Eocene Mammals from North?west India."" Proceedings of the zoological society of London. Vol. 110. No. 1?2. Oxford, UK: Blackwell Publishing Ltd, 1940.";m1 not found;;;
Anthracobune pinfoldi;;;;;;"Pilgrim, Guy E. ""Middle Eocene Mammals from North?west India."" Proceedings of the zoological society of London. Vol. 110. No. 1?2. Oxford, UK: Blackwell Publishing Ltd, 1940.";m1 not found;;;
